,siren,division,categorieEntreprise,dateCreationUniteLegale,annee,CIR,nb_brevets,Id_ETI,annee_creation
234,420019812,72,GE,1998-08-31,2016,283251.0,0.0,0,1998
235,420154809,71,GE,1998-08-20,2016,102086.0,0.0,0,1998
236,420278723,96,ETI,1998-09-25,2016,0.0,0.0,1,1998
237,420287229,71,ETI,1998-09-24,2016,25179.0,0.0,1,1998
238,420291387,71,GE,1998-09-18,2016,0.0,0.0,0,1998
239,420410920,20,ETI,1998-10-06,2016,0.0,0.0,1,1998
240,420436255,71,ETI,1998-10-01,2016,0.0,0.0,1,1998
241,420506149,95,ETI,1998-10-13,2016,0.0,0.0,1,1998
242,420608341,71,ETI,1998-10-23,2016,0.0,0.0,1,1998
243,420610438,20,ETI,1998-09-01,2016,157000.0,0.0,1,1998
244,420611386,20,GE,1998-09-01,2016,19944922.0,10.0,0,1998
245,420768046,62,ETI,1998-11-04,2016,4947.0,0.0,1,1998
246,420797433,29,GE,1998-10-26,2016,13299163.0,14.0,0,1998
247,420851651,20,ETI,1998-10-29,2016,12639.0,5.0,1,1998
248,420851784,25,ETI,1998-10-26,2016,19000.0,0.0,1,1998
249,420879140,29,GE,1998-11-05,2016,0.0,0.0,0,1998
250,420916918,30,GE,1998-10-30,2016,0.0,309.0,0,1998
251,420919805,62,GE,1998-10-30,2016,0.0,0.0,0,1998
252,420937229,96,GE,1998-10-05,2016,0.0,0.0,0,1998
253,420990848,96,ETI,1998-11-01,2016,0.0,0.0,1,1998
254,421023870,71,GE,1998-11-30,2016,0.0,0.0,0,1998
255,421131368,29,ETI,1998-12-14,2016,0.0,7.0,1,1998
256,421148925,71,ETI,1998-12-03,2016,0.0,0.0,1,1998
257,421181819,20,ETI,1998-12-15,2016,137350.0,0.0,1,1998
258,421183013,25,ETI,1998-12-14,2016,0.0,0.0,1,1998
259,421187451,25,ETI,1998-12-14,2016,0.0,0.0,1,1998
260,421204041,29,ETI,1998-12-15,2016,0.0,0.0,1,1998
261,421216680,25,ETI,1998-12-17,2016,18392.0,0.0,1,1998
262,421242371,29,GE,1998-12-31,2016,8797000.0,0.0,0,1998
263,421287178,71,GE,1998-12-24,2016,0.0,0.0,0,1998
264,421300088,32,ETI,1998-12-28,2016,403213.0,0.0,1,1998
265,421346362,20,GE,1998-12-16,2016,0.0,0.0,0,1998
266,421377946,71,ETI,1998-12-24,2016,0.0,0.0,1,1998
267,421380460,71,ETI,1998-12-21,2016,0.0,0.0,1,1998
268,421383019,95,GE,1998-12-31,2016,0.0,0.0,0,1998
269,421454406,20,ETI,1998-12-22,2016,827320.0,1.0,1,1998
270,421456914,20,GE,1998-12-22,2016,0.0,0.0,0,1998
271,421547449,71,ETI,1999-01-04,2016,0.0,0.0,1,1999
272,421550443,21,ETI,1999-01-07,2016,0.0,0.0,1,1999
273,421616376,71,ETI,1998-12-01,2016,0.0,0.0,1,1998
274,421637273,20,ETI,1999-01-01,2016,0.0,0.0,1,1999
275,421652058,71,GE,1999-01-11,2016,4124.28,0.0,0,1999
276,421703786,20,ETI,1999-02-01,2016,93742.0,0.0,1,1999
277,421743808,62,ETI,1999-01-20,2016,0.0,0.0,1,1999
278,421819848,22,ETI,1999-01-01,2016,0.0,0.0,1,1999
279,421842188,26,ETI,1999-02-22,2016,0.0,0.0,1,1999
280,421861832,62,ETI,1998-10-01,2016,0.0,0.0,1,1998
281,422020750,20,ETI,1999-01-01,2016,0.0,0.0,1,1999
282,422130955,25,ETI,1999-02-15,2016,0.0,0.0,1,1999
283,422355982,71,GE,1999-03-23,2016,0.0,0.0,0,1999
284,422481838,25,ETI,1999-04-07,2016,0.0,4.0,1,1999
285,422499798,22,ETI,1998-12-24,2016,0.0,0.0,1,1998
286,422648964,25,ETI,1999-03-10,2016,0.0,0.0,1,1999
287,422680322,22,ETI,1999-04-19,2016,0.0,0.0,1,1999
288,422808311,22,ETI,1999-05-01,2016,0.0,0.0,1,1999
289,422868851,71,ETI,1999-03-17,2016,391954.0,0.0,1,1999
290,422883769,71,GE,1999-04-12,2016,383460.0,0.0,0,1999
291,422918904,25,ETI,1999-05-05,2016,0.0,0.0,1,1999
292,422998971,71,GE,1999-02-24,2016,219593.0,0.0,0,1999
293,423004621,32,ETI,1999-05-10,2016,448111.0,0.0,1,1999
294,423101294,71,GE,1999-06-01,2016,0.0,0.0,0,1999
295,423173921,71,ETI,1999-06-07,2016,0.0,0.0,1,1999
296,423190081,20,GE,1999-07-01,2016,0.0,0.0,0,1999
297,423190891,71,GE,1999-05-15,2016,606263.0,0.0,0,1999
298,423261692,62,ETI,1999-05-21,2016,556375.0,0.0,1,1999
299,423369164,25,ETI,1999-05-27,2016,54071.0,0.0,1,1999
300,423379338,71,ETI,1999-06-01,2016,0.0,0.0,1,1999
301,423530104,62,ETI,1999-06-25,2016,457351.0,0.0,1,1999
302,423547439,62,ETI,1999-06-03,2016,0.0,0.0,1,1999
303,423607621,71,GE,1999-06-21,2016,0.0,0.0,0,1999
304,423865419,71,GE,1999-08-01,2016,67642.0,0.0,0,1999
305,423868181,72,GE,1999-08-03,2016,0.0,0.0,0,1999
306,423875103,22,ETI,1999-09-01,2016,0.0,0.0,1,1999
307,423907732,96,GE,1999-08-05,2016,0.0,0.0,0,1999
308,423982552,29,ETI,1999-08-03,2016,0.0,0.0,1,1999
309,424226231,62,ETI,1999-05-13,2016,0.0,0.0,1,1999
310,424299741,71,GE,1999-09-08,2016,737.0,0.0,0,1999
311,424335693,62,GE,1999-07-16,2016,0.0,0.0,0,1999
312,424499911,25,ETI,1999-06-01,2016,0.0,0.0,1,1999
313,424673457,25,ETI,1999-10-13,2016,0.0,0.0,1,1999
314,424693216,71,GE,1999-10-04,2016,0.0,0.0,0,1999
315,424704914,26,GE,1999-10-09,2016,421984.0,0.0,0,1999
316,424704963,62,GE,1999-10-09,2016,265000.0,0.0,0,1999
317,424802544,62,ETI,1999-10-14,2016,57785.0,0.0,1,1999
318,424897692,26,GE,1999-10-26,2016,0.0,0.0,0,1999
319,424979144,29,ETI,1999-11-08,2016,8517.0,0.0,1,1999
320,425750023,25,ETI,1957-01-01,2016,245.628,0.0,1,1957
321,427020094,25,ETI,1967-01-01,2016,0.0,0.0,1,1967
322,427180450,22,ETI,1971-01-01,2016,0.0,0.0,1,1971
323,428121818,32,ETI,1999-11-29,2016,33841.0,2.0,1,1999
324,428210140,62,ETI,1999-11-10,2016,24354.0,0.0,1,1999
325,428213292,29,GE,1999-11-15,2016,370769.0,0.0,0,1999
326,428227227,71,ETI,1999-11-24,2016,0.0,0.0,1,1999
327,428293492,62,ETI,1999-12-01,2016,0.0,0.0,1,1999
328,428295810,21,ETI,1999-12-07,2016,400000.0,0.0,1,1999
329,428559884,96,ETI,1999-12-10,2016,0.0,0.0,1,1999
330,428564710,26,ETI,1999-12-01,2016,74089.0,3.0,1,1999
331,428610398,26,ETI,1999-12-10,2016,0.0,1.0,1,1999
332,428624001,71,GE,1999-12-10,2016,0.0,0.0,0,1999
333,428646756,25,ETI,1999-11-15,2016,0.0,0.0,1,1999
334,428677124,62,GE,1999-12-01,2016,2651000.0,0.0,0,1999
335,428690465,62,GE,1999-12-13,2016,0.0,0.0,0,1999
336,428734115,62,GE,1999-12-14,2016,0.0,0.0,0,1999
337,428734123,25,GE,1999-12-14,2016,0.0,0.0,0,1999
338,428753107,20,ETI,1999-12-15,2016,0.0,0.0,1,1999
339,428770820,25,ETI,1999-12-23,2016,2000.0,0.0,1,1999
340,428786669,20,ETI,1999-12-09,2016,0.0,0.0,1,1999
341,428851463,62,ETI,1999-12-22,2016,0.0,0.0,1,1999
342,429057342,20,GE,2000-01-12,2016,0.0,0.0,0,2000
343,429216351,62,ETI,2000-01-01,2016,0.0,0.0,1,2000
344,429524606,71,GE,2000-02-11,2016,0.0,0.0,0,2000
345,429526973,20,ETI,2000-03-01,2016,0.0,0.0,1,2000
