siren,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,2016_CIR
310369970,0.0,48991.0,14700.0,14160.0,8700.0,10500.0,,0.0
310370887,0.0,,0.0,,,,0.0,
310558770,334000.0,335000.0,324000.0,207000.0,331304.0,218889.0,,
310602313,223786.0,,,,0.0,,,0.0
310623269,250797.0,0.0,0.0,0.0,0.0,0.0,0.0,249323.0
310634696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310691977,,,,,,,,0.0
310810486,,,,,,,,234551.0
310827340,,0.0,,,,,,0.0
310865597,0.0,128024.24,0.0,88324.95,12485.96,,,0.0
310880679,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
310939947,0.0,0.0,0.0,0.0,0.0,,,217750.0
310949623,,594304.0,,,,,,
310967294,440017.0,275980.0,959774.0,997055.0,994174.0,973131.0,967093.0,332945.0
310967302,0.0,,,,,,0.0,0.0
310968540,0.0,0.0,22575.0,,,0.0,,0.0
311020911,553502.0,,320508.0,,,180764.0,145202.0,560391.0
311109441,0.0,0.0,0.0,0.0,781984.0,,,70284.0
311198303,18763.0,,0.0,0.0,0.0,,,
311210827,0.0,304681.0,,,807685.0,807685.0,,0.0
311328264,,,,0.0,,,,
311584718,20434.0,12807.0,12807.0,,,0.0,,38042.0
311666077,0.0,44739.0,,,,0.0,,0.0
311666192,0.0,0.0,0.0,,0.0,0.0,,
311794499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311865307,0.0,,,0.0,,,0.0,
311866206,0.0,0.0,0.0,0.0,,,,
311901318,,,,,0.0,0.0,,
311916639,0.0,0.0,0.0,,,,,0.0
311999833,4793000.0,4818000.0,,,,,,5356000.0
312110620,,0.0,0.0,0.0,,,,
312141336,31976000.0,100047.0,,,,123442000.0,,34755539.0
312195977,,0.0,,,,,,0.0
312261811,0.0,0.0,0.0,0.0,,,,0.0
312261894,173000.0,,,,,,,940000.0
312285133,,,,,0.0,0.0,,173738.0
312286040,0.0,0.0,0.0,,0.0,0.0,,0.0
312300205,0.0,,0.0,0.0,0.0,,,0.0
312310311,0.0,,,,0.0,,,0.0
312327489,,,0.0,0.0,,,,0.0
312330806,,,,,0.0,0.0,11752.0,0.0
312378870,208141.0,0.0,,,,,,148188.0
312450497,0.0,0.0,,,,,,0.0
312452675,,,,,,,0.0,
312453202,152193.0,,156871.0,,137545.0,99352.0,97750.0,157465.0
312455298,,0.0,0.0,0.0,0.0,0.0,0.0,24745.0
312549587,,,,0.0,,,,
312573850,,,39827.0,0.0,0.0,,0.0,
312730674,4225.0,0.0,0.0,0.0,,0.0,0.0,0.0
312731532,0.0,0.0,0.0,81299.0,41713.0,206887.0,201228.0,
312786338,55864.0,88788.0,8921.0,52927.0,49411.0,,,75472.0
312815780,0.0,0.0,0.0,0.0,0.0,,,0.0
312857592,0.0,0.0,,,,,,0.0
312905342,0.0,0.0,,,,,,0.0
313088247,,,0.0,0.0,0.0,0.0,0.0,0.0
313149973,0.0,0.0,,,,,,356633.0
