siren,2022_CIR,2023_CIR,2019_CIR,2021_CIR,2018_CIR,2020_CIR,2016_CIR,2017_CIR
811795004,,0.0,,,,,0.0,
811818848,,,,1719000.0,1362000.0,2291000.0,,
811847094,0.0,,,,,,0.0,0.0
811848399,,,,,,,,0.0
811879501,,,0.0,,,,,
811903608,0.0,,,,,,,0.0
811935352,,oui,,,,,,
811986058,21476.0,,,,,,,0.0
812022309,,,,,,,,45000.0
812030302,,,0.0,0.0,,,,
812049948,0.0,0.0,,,,,0.0,0.0
812203479,0.0,0.0,,,,,,0.0
812257830,153449.0,,,,,,,
812294197,,,0.0,0.0,,,,
812302255,0.0,,,,,,,0.0
812358943,,,0.0,,0.0,0.0,,
812376127,,,,,,,,0.0
812404010,208814.0,,,,,,,0.0
812430890,,,,0.0,0.0,,,
812506749,,,,,,,0.0,
812525491,,,0.0,0.0,,,,
812535284,,,,,87271.0,176378.0,,
812553782,,,0.0,0.0,,,,
812554525,,,0.0,0.0,,0.0,,
812571008,,,0.0,0.0,oui,,,
812698074,,,,,0.0,,,
812747319,,,,,,,0.0,0.0
812773711,0.0,,,,,,,0.0
812801405,,,412.0,0.0,,0.0,,
812825974,0.0,,,,,,,
812859254,,,0.0,,0.0,0.0,,
812869972,,0.0,,,,,,
812893253,,,,0.0,,,,
812938280,0.0,0.0,,,,,0.0,
812951192,,,,,,,0.0,0.0
812961654,0.0,0.0,,,,,0.0,0.0
813030491,,0.0,,,,,0.0,
813043692,,74007.0,,,,,,
813073517,,,0.0,457849.0,,,,
813140357,,,,410471.0,0.0,4016976.0,,
813190303,0.0,,,,,,,0.0
813319258,,,,,,,0.0,
813337136,,,,,0.0,,,
813356649,,,,,,,,0.0
813423217,,0.0,,,,,,
813447851,,,0.0,0.0,,,,
813462942,,0.0,,,,,,
813526928,,,0.0,0.0,,,,
813593373,,,,,,,0.0,
813617628,,,,,,,0.0,0.0
813635638,0.0,,,,,,,
813689213,0.0,,,,,,,
813844529,,0.0,,,,,0.0,
813901592,0.0,0.0,,,,,,
813935863,,,,,0.0,0.0,,
813950920,0.0,,,,,,,
