siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
328179957,26,1983,2016,0.0,437774.0,0
328195193,71,1983,2016,0.0,0.0,0
328195607,62,1983,2016,0.0,159554.0,1
328202320,20,1983,2016,0.0,0.0,1
328274410,30,1983,2016,0.0,0.0,1
328297841,21,1983,2016,0.0,630305.0,1
328368857,29,1983,2016,0.0,0.0,1
328409529,22,1983,2016,0.0,0.0,1
328539911,25,1983,2016,0.0,0.0,0
328593546,71,1983,2016,0.0,0.0,1
328703863,25,1983,2016,0.0,0.0,1
328779293,21,1983,2016,0.0,0.0,1
328781786,62,1983,2016,0.0,0.0,0
328834122,29,1983,2016,0.0,0.0,1
328959358,22,1983,2016,0.0,333491.0,1
328959770,22,1984,2016,0.0,0.0,1
329035422,30,1984,2016,0.0,0.0,1
329186704,71,1984,2016,0.0,0.0,1
329403422,25,1984,2016,0.0,505077.0,1
329449052,25,1984,2016,0.0,129119.0,1
329529614,71,1983,2016,0.0,0.0,1
329569248,71,1984,2016,0.0,5931.0,1
329653117,62,1984,2016,0.0,0.0,1
329727390,71,1984,2016,0.0,474072.0,1
329822514,62,1984,2016,0.0,422094.0,0
329868848,72,1984,2016,0.0,167000.0,0
330023656,22,1984,2016,0.0,0.0,1
330054180,26,1984,2016,0.0,0.0,1
330054925,96,1984,2016,0.0,0.0,1
330076159,62,1984,2016,0.0,1136000.0,0
330076472,20,1984,2016,0.0,0.0,1
330160367,32,1984,2016,0.0,26000.0,0
330263948,29,1984,2016,0.0,77968.0,1
330447236,95,1984,2016,0.0,0.0,0
330525825,25,1984,2016,0.0,100000.0,1
330589193,71,1984,2016,0.0,0.0,1
330608191,25,1984,2016,0.0,25785.0,1
330631433,95,1984,2016,0.0,0.0,1
331170936,62,1984,2016,0.0,0.0,1
331221150,62,1984,2016,0.0,0.0,1
331277590,25,1985,2016,0.0,0.0,1
331312108,29,1984,2016,348.0,8624000.0,0
331408336,62,1985,2016,0.0,878000.0,1
331552489,20,1985,2016,0.0,65518.0,1
331554428,71,1984,2016,0.0,0.0,0
331618520,62,1985,2016,0.0,0.0,0
331785717,62,1985,2016,0.0,0.0,0
331930081,20,1985,2016,0.0,208000.0,1
331983163,26,1985,2016,0.0,0.0,1
332022334,71,1985,2016,0.0,0.0,1
332051762,96,1985,2016,0.0,0.0,1
332110097,20,1985,2016,26.0,0.0,0
332185818,29,1985,2016,0.0,0.0,0
332201664,25,1984,2016,0.0,0.0,1
332252980,71,1985,2016,0.0,850000.0,0
332455500,71,1984,2016,0.0,0.0,0
332552686,71,1985,2016,0.0,0.0,1
332589043,29,1985,2016,0.0,0.0,1
332617901,25,1985,2016,1.0,0.0,1
333088698,62,1985,2016,0.0,0.0,1
333101574,96,1985,2016,0.0,0.0,1
333134799,62,1985,2016,0.0,0.0,0
333455400,62,1985,2016,0.0,0.0,1
333502680,20,1985,2016,1.0,0.0,1
333541993,71,1976,2016,0.0,0.0,1
333583755,25,1985,2016,0.0,156247.0,1
333675593,25,1985,2016,0.0,94617.0,1
333707669,22,1985,2016,3.0,630000.0,1
333760171,22,1985,2016,0.0,135342.0,1
333784155,22,1985,2016,0.0,0.0,1
333784775,72,1985,2016,1.0,0.0,1
333802767,72,1985,2016,13.0,1683000.0,0
333834562,20,1985,2016,0.0,0.0,0
333916385,25,1985,2016,0.0,0.0,0
333956282,25,1985,2016,0.0,75300.0,1
334162583,71,1985,2016,0.0,143953.0,1
334193638,62,1985,2016,0.0,0.0,1
334201027,25,1985,2016,0.0,0.0,1
334216751,22,1985,2016,0.0,0.0,1
334225208,20,1985,2016,0.0,0.0,1
334281599,71,1985,2016,0.0,0.0,1
334300225,26,1986,2016,0.0,0.0,1
334381746,71,1985,2016,0.0,54112.0,1
334456886,71,1986,2016,0.0,0.0,0
334474111,26,1985,2016,2.0,40000.0,1
334536232,22,1986,2016,0.0,0.0,1
334820776,29,1986,2016,0.0,0.0,1
334822129,62,1986,2016,0.0,0.0,1
334835709,26,1986,2016,11.0,6821594.0,1
334895885,22,1986,2016,0.0,3320.0,1
334924362,72,1986,2016,0.0,19128423.0,0
335005583,20,1986,2016,0.0,0.0,1
335092318,62,1986,2016,0.0,398456.0,1
335187696,26,1986,2016,0.0,0.0,1
335322525,25,1986,2016,0.0,0.0,1
335339131,71,1986,2016,0.0,0.0,1
335339446,29,1986,2016,0.0,0.0,1
335780094,25,1957,2016,0.0,4160.0,1
335820684,21,1958,2016,0.0,959000.0,0
337508147,96,1986,2016,0.0,0.0,1
337519532,29,1986,2016,0.0,0.0,1
337617963,71,1986,2016,0.0,2058.0,0
337718860,20,1986,2016,0.0,0.0,1
337732432,25,1986,2016,0.0,350000.0,1
337780944,32,1986,2016,0.0,0.0,1
337791248,96,1985,2016,0.0,0.0,1
337829378,96,1986,2016,0.0,0.0,1
337858146,96,1986,2016,0.0,0.0,1
337902910,20,1986,2016,0.0,0.0,1
337924328,71,1986,2016,0.0,0.0,1
338097066,62,1986,2016,0.0,0.0,1
338134737,72,1986,2016,1.0,2571565.0,1
338329469,71,1986,2016,0.0,952000.0,1
338339435,62,1986,2016,0.0,21655.0,1
338353758,25,1986,2016,0.0,0.0,1
338446628,25,1986,2016,0.0,0.0,1
338481955,30,1986,2016,65.0,19551000.0,0
338485899,25,1986,2016,0.0,0.0,0
338500713,71,1986,2016,0.0,38605.0,1
338525223,96,1986,2016,0.0,0.0,1
338702202,96,1986,2016,0.0,0.0,1
338768674,71,1986,2016,0.0,0.0,0
338864572,96,1986,2016,0.0,0.0,1
339076333,96,1986,2016,0.0,0.0,1
339480352,32,1986,2016,0.0,0.0,1
339488777,32,1986,2016,0.0,520000.0,1
339577298,96,1986,2016,0.0,0.0,1
339635435,71,1986,2016,0.0,120178.0,1
339688335,25,1986,2016,0.0,0.0,1
339695231,71,1986,2016,0.0,7304079.0,1
339704496,22,1986,2016,0.0,0.0,1
339705782,71,1986,2016,0.0,146417.0,1
339707143,25,1986,2016,0.0,0.0,1
339722670,71,1986,2016,0.0,272926.0,1
339769044,71,1986,2016,0.0,0.0,0
339787277,62,1986,2016,0.0,0.0,1
339788713,62,1986,2016,0.0,878000.0,1
339799058,71,1986,2016,0.0,0.0,1
339809527,71,1986,2016,0.0,0.0,1
339864753,22,1986,2016,0.0,0.0,1
339946469,25,1986,2016,13.0,2080000.0,0
340161595,22,1987,2016,2.0,0.0,1
340175777,26,1986,2016,0.0,0.0,0
340476944,26,1986,2016,0.0,0.0,1
340869353,20,1987,2016,0.0,60000.0,0
340935873,29,1987,2016,0.0,0.0,1
341148823,25,1987,2016,0.0,150886.0,1
341206183,29,1987,2016,0.0,0.0,1
341213411,62,1987,2016,0.0,0.0,1
341309102,96,1987,2016,0.0,0.0,1
341358141,71,1987,2016,0.0,0.0,1
341415313,20,1987,2016,0.0,5400.0,1
341459386,26,1987,2016,50.0,13267000.0,0
341460293,72,1987,2016,0.0,0.0,0
341473841,20,1987,2016,0.0,0.0,0
341501682,25,1987,2016,0.0,0.0,1
341678969,32,1987,2016,0.0,0.0,1
341697639,20,1987,2016,0.0,424000.0,1
342012390,30,1987,2016,0.0,61000.0,1
342014990,32,1987,2016,1.0,0.0,1
342021805,95,1987,2016,0.0,0.0,1
