siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
552016487,20,1955,2016,14.0,526990.0,0
552081739,22,1955,2016,44.0,0.0,1
552105603,25,1955,2016,1.0,187818.0,1
552134454,22,1955,2016,2.0,169063.0,1
552139677,21,1955,2016,1.0,2294394.0,1
562110965,30,1956,2016,0.0,0.0,1
562128132,20,1900,2016,1.0,524033.0,1
569800873,71,1900,2016,21.0,330.0,0
572051571,25,1957,2016,2.0,226000.0,1
572082253,20,1900,2016,1.0,3940798.0,0
582012340,25,1900,2016,0.0,0.0,1
599815073,20,1900,2016,19.0,2008490.0,1
600801468,22,1960,2016,1.0,256234.98,1
602033185,62,1960,2016,8.0,3075000.0,1
605620442,32,1956,2016,7.0,0.0,1
612039495,26,1961,2016,0.0,0.0,0
622037083,20,1977,2016,116.0,20735200.0,0
630800084,30,1963,2016,8.0,0.0,0
642005177,20,1973,2016,0.0,0.0,1
646050476,25,1960,2016,2.0,0.0,1
652025370,29,1985,2016,20.0,1370000.0,0
662001403,71,1966,2016,45.0,5817000.0,1
662025006,22,1966,2016,0.0,0.0,1
662037704,20,1983,2016,1.0,0.0,1
662043405,30,1900,2016,1.0,5565109.7,0
667280143,29,1972,2016,0.0,0.0,1
673620399,20,1967,2016,54.0,18400000.0,0
676250111,21,1962,2016,1.0,0.0,1
682008222,71,1968,2016,0.0,283015.0,1
685550444,71,1955,2016,1.0,70109.0,1
709806079,30,1982,2016,5.0,0.0,1
709806624,22,1970,2016,1.0,0.0,1
709807408,21,1900,2016,0.0,250000.0,1
719803249,22,1971,2016,1.0,125622.0,1
720501410,20,1972,2016,3.0,1127079.0,1
722045879,71,1985,2016,8.0,4209000.0,1
759200454,22,1959,2016,0.0,531000.0,1
768200610,25,1958,2016,2.0,0.0,0
775424914,29,1973,2016,3.0,1143000.0,0
775580434,20,1958,2016,4.0,804120.7,1
775662257,21,1973,2016,0.0,0.0,0
777346412,32,1965,2016,6.0,786008.0,1
778127613,30,1970,2016,13.0,2800000.0,0
778151944,22,1960,2016,0.0,0.0,1
785506338,30,1900,2016,1.0,0.0,1
790020846,71,2012,2016,0.0,712413.0,1
790503973,62,2013,2016,0.0,42172.0,0
791567092,22,2013,2016,0.0,936908.0,1
796380426,25,1963,2016,0.0,453000.0,1
799325246,72,2013,2016,7.0,3571.0,0
871500229,22,1971,2016,4.0,98259.0,1
897080289,26,1970,2016,12.0,2070422.0,1
950020180,32,1980,2016,1.0,26047.0,1
954506077,29,1954,2016,0.0,21700000.0,0
957503642,32,1957,2016,0.0,0.0,1
300560588,20,1900,2017,3.0,368934.0,1
302456199,62,1985,2017,0.0,812647.0,1
304849094,71,1982,2017,0.0,9739588.0,1
305151409,21,1900,2017,5.0,23777000.0,1
306926684,26,1976,2017,1.0,0.0,1
307378489,21,1976,2017,2.0,1500000.0,1
308491521,21,1968,2017,4.0,6073.0,1
310967294,26,1977,2017,0.0,440017.0,1
311999833,21,1978,2017,1.0,4793000.0,1
314722026,72,1979,2017,132.0,25989607.0,0
319137576,20,1980,2017,12.0,8466464.0,0
319159877,26,1980,2017,1.0,30440000.0,0
319427399,20,1980,2017,0.0,250969.0,1
321391237,71,1981,2017,0.0,487377.0,1
325090728,22,1982,2017,0.0,0.0,1
325820751,32,1958,2017,12.0,1685000.0,1
326134699,71,1983,2017,1.0,333107.0,1
327153722,29,1983,2017,10.0,1660000.0,0
329403422,25,1984,2017,1.0,604991.0,1
330263948,29,1984,2017,0.0,77968.0,1
332110097,20,1985,2017,24.0,0.0,0
333502680,20,1985,2017,2.0,0.0,1
333707669,22,1985,2017,1.0,0.0,1
333802767,72,1985,2017,10.0,1792000.0,0
338134737,72,1986,2017,0.0,2805304.0,1
339946469,25,1986,2017,6.0,1500000.0,0
340161595,22,1987,2017,1.0,298587.0,1
341148823,25,1987,2017,0.0,0.0,1
341459386,26,1987,2017,32.0,15411000.0,0
342014990,32,1987,2017,0.0,0.0,1
342192150,29,1987,2017,111.0,3985000.0,0
342500956,71,1987,2017,1.0,0.0,0
344097902,21,1988,2017,12.0,560469.0,1
344436225,72,1988,2017,15.0,7940000.0,0
345004147,25,1988,2017,0.0,209087.0,1
347721482,25,1988,2017,0.0,285009.0,1
