,Unnamed: 0,siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,Id_ETI,dateCreationUniteLegale,division
152,152,319242210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1960,71
153,153,319308706,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,88643.0,0.0,0.0,1,1978,25
154,154,319380556,1.0,0.0,0.0,0.0,0.0,11118.0,13963.0,0.0,4381.0,2967.0,1,1980,25
155,155,319416756,0.0,0.0,0.0,0.0,0.0,24462198.0,23239209.0,22945072.0,24474420.0,23430940.0,0,1980,72
156,156,319427399,0.0,0.0,0.0,0.0,2.0,319990.0,250969.0,254499.0,312493.0,284000.0,1,1980,20
157,157,319529384,0.0,0.0,0.0,0.0,0.0,211978.0,211978.0,142543.0,96996.0,96996.0,1,1980,29
158,158,319537791,0.0,0.0,0.0,0.0,0.0,147861.0,84407.0,0.0,0.0,0.0,1,1980,95
159,159,319618393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1980,71
160,160,319632790,14.0,25.0,17.0,3.0,1.0,110700000.0,97000000.0,74600000.0,0.0,59000000.0,0,1980,20
161,161,319640983,0.0,0.0,0.0,0.0,0.0,315003.0,416107.0,434312.0,445586.0,412512.0,1,1980,20
162,162,319699815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,96
163,163,319806048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,20
164,164,319815809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,25
165,165,320353576,0.0,0.0,0.0,0.0,0.0,85531.0,1056000.0,0.0,0.0,0.0,0,1980,29
166,166,320443393,0.0,0.0,0.0,0.0,0.0,240218.0,242668.0,114257.0,54000.0,0.0,1,1980,25
167,167,320460173,0.0,0.0,0.0,0.0,0.0,222000.0,414000.0,729000.0,447000.0,345000.0,1,1980,20
168,168,320609175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,22
169,169,320663594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,20
170,170,321212904,0.0,0.0,0.0,0.0,0.0,598712.0,48238.0,121261.0,2700.0,64966.0,1,1981,26
171,171,321276529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,25
172,172,321391237,0.0,0.0,2.0,0.0,0.0,441478.0,487377.0,483774.0,289605.0,529596.0,1,1981,71
173,173,321735789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0,1981,71
174,174,321774713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,25
175,175,321995367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,20
176,176,322067539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,22
177,177,322398132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1981,62
178,178,322407693,0.0,0.0,0.0,0.0,0.0,94969.0,0.0,0.0,0.0,0.0,1,1981,20
179,179,322409913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,22
180,180,322424136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,7800.0,1,1981,22
181,181,322498270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1981,71
182,182,322522368,0.0,0.0,0.0,0.0,0.0,95000.0,481000.0,25000.0,138000.0,29000.0,1,1981,25
183,183,322537788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192244.0,0.0,0.0,1,1981,25
184,184,322687179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,71
185,185,322707159,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,1,1981,29
186,186,322746603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,25
187,187,322868910,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,776000.0,1,1981,71
188,188,322928680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1981,22
