siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,activitePrincipaleUniteLegale,categorieEntreprise,Division,somme_CIR
633650544.0,,,,,,0.0,0.0,0.0,96.03Z,ETI,96,
636220105.0,0.0,0.0,0.0,,,,,,20.16Z,ETI,20,
637080110.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.16Z,GE,20,
638501049.0,0.0,0.0,430850.4,0.0,15196.78,0.0,,0.0,25.73B,ETI,25,
639200336.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,25.12Z,ETI,25,
639804889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.29B,ETI,22,0.0
642005177.0,0.0,0.0,0.0,886000.0,2805384.0,9110376.0,0.0,0.0,20.13B,ETI,20,12801760.0
642012470.0,0.0,0.0,,,,,,,71.12B,GE,71,
642028609.0,0.0,0.0,,,0.0,,,0.0,62.02A,GE,62,
642030357.0,449976.0,319061.0,481476.0,453543.0,433005.0,360851.0,379394.0,417705.0,71.12B,ETI,71,3295011.0
642040000.0,787695.0,0.0,619000.0,0.0,0.0,0.0,0.0,0.0,22.19Z,ETI,22,1406695.0
642056865.0,0.0,,,,0.0,0.0,0.0,0.0,71.12B,ETI,71,
642058739.0,59640165.0,8956973.0,58160000.0,18800000.0,19000000.0,0.0,23760000.0,,62.02A,GE,62,
642060123.0,,,,164600.0,191400.0,235200.0,,,20.42Z,ETI,20,
643620297.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.99B,ETI,25,
643780380.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22Z,ETI,22,
643820640.0,0.0,,,,0.0,0.0,,,25.12Z,ETI,25,
644800161.0,5743.0,180.0,0.0,11600.0,0.0,1367.0,0.0,0.0,29.32Z,ETI,29,18890.0
645950197.0,,,,,,,,0.0,32.50B,ETI,32,
646050104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.29A,ETI,22,0.0
646050476.0,0.0,0.0,340000.0,0.0,0.0,603000.0,331000.0,0.0,25.99B,ETI,25,1274000.0
